NumIntervals,NumThreads,PiValue,ElaspsedTime(s)
10000000,1,3.141592653589731,0.070717
10000000,2,3.141592653589985,0.081135
10000000,3,3.141592653589912,0.076925
10000000,4,3.141592653589686,0.066185
10000000,5,3.141592653589715,0.072077
10000000,6,3.141592653589770,0.069668
10000000,7,3.141592653589796,0.065397
10000000,8,3.141592653589806,0.067222
10000000,9,3.141592653589794,0.063145
10000000,10,3.141592653589793,0.062210
100000000,1,3.141592653590426,0.580289
100000000,2,3.141592653590022,0.619062
100000000,3,3.141592653590154,0.618320
100000000,4,3.141592653590217,0.621983
100000000,5,3.141592653589643,0.755547
100000000,6,3.141592653589672,0.636954
100000000,7,3.141592653589664,0.613221
100000000,8,3.141592653589614,0.671383
100000000,9,3.141592653589753,0.813602
100000000,10,3.141592653589746,0.630269
1000000000,1,3.141592653589971,6.062470
1000000000,2,3.141592653590007,6.002520
1000000000,3,3.141592653589914,5.915585
1000000000,4,3.141592653589768,5.956007
1000000000,5,3.141592653589692,5.944359
1000000000,6,3.141592653589705,5.946043
1000000000,7,3.141592653589688,5.953515
1000000000,8,3.141592653589828,5.942305
1000000000,9,3.141592653589836,5.961106
1000000000,10,3.141592653589852,5.965519
