NumIntervals,NumThreads,PiValue,ElaspsedTime(s),批扼抗抉把快扶我快
10000000,1,3.141592654,0.070717,1
10000000,2,3.141592654,0.081135,1.147319598
10000000,3,3.141592654,0.076925,1.087786529
10000000,4,3.141592654,0.066185,0.935913571
10000000,5,3.141592654,0.072077,1.019231585
10000000,6,3.141592654,0.069668,0.985166226
10000000,7,3.141592654,0.065397,0.924770564
10000000,8,3.141592654,0.067222,0.950577655
10000000,9,3.141592654,0.063145,0.892925322
10000000,10,3.141592654,0.06221,0.879703607
100000000,1,3.141592654,0.580289,1
100000000,2,3.141592654,0.619062,1.066816707
100000000,3,3.141592654,0.61832,1.065538034
100000000,4,3.141592654,0.621983,1.071850406
100000000,5,3.141592654,0.755547,1.302018477
100000000,6,3.141592654,0.636954,1.097649619
100000000,7,3.141592654,0.613221,1.056751033
100000000,8,3.141592654,0.671383,1.156980401
100000000,9,3.141592654,0.813602,1.402063455
100000000,10,3.141592654,0.630269,1.086129498
1000000000,1,3.141592654,6.06247,1
1000000000,2,3.141592654,6.00252,0.990111291
1000000000,3,3.141592654,5.915585,0.975771426
1000000000,4,3.141592654,5.956007,0.982439006
1000000000,5,3.141592654,5.944359,0.980517677
1000000000,6,3.141592654,5.946043,0.980795451
1000000000,7,3.141592654,5.953515,0.982027952
1000000000,8,3.141592654,5.942305,0.980178871
1000000000,9,3.141592654,5.961106,0.983280082
1000000000,10,3.141592654,5.965519,0.984008003
